trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9025, 'e': 1.0}",30,0,-117.64492360668893,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 3}",0
2,False,"{'a': 0.9025, 'e': 0.9025}",20,0,-69.90461922195435,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.9025, 'e': 0.81450625}",20,0,-11.516005102826496,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.9025, 'e': 0.7350918906249999}",20,0,-65.70367780205628,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
5,False,"{'a': 0.9025, 'e': 0.6634204312890624}",30,0,-162.3754180073496,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.9025, 'e': 0.5987369392383788}",20,12,-27.197244990114037,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.9025, 'e': 0.5403600876626369}",20,0,-95.2959864793292,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
8,False,"{'a': 0.9025, 'e': 0.48767497911552976}",20,15,2.6045654447888253,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.9025, 'e': 0.4401266686517656}",20,0,-38.00047711460386,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.9025, 'e': 0.3972143184582184}",20,0,-30.75012123934098,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.9025, 'e': 0.3584859224085421}",20,0,-24.980247209212717,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.9025, 'e': 0.32353354497370923}",20,0,-4.0570581761780815,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.9025, 'e': 0.2919890243387726}",25,7,8.951087055044553,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.9025, 'e': 0.26352009446574226}",30,23,13.209524420995114,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.9025, 'e': 0.23782688525533238}",20,3,13.769218264971261,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.9025, 'e': 0.21463876394293746}",30,0,-56.02537116644284,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.9025, 'e': 0.19371148445850106}",20,0,1.7500110471548445,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.9025, 'e': 0.17482461472379718}",20,0,21.867382289567058,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.9025, 'e': 0.15777921478822696}",20,8,-26.124630902258332,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.9025, 'e': 0.14239574134637484}",30,0,-12.97302496780748,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.9025, 'e': 0.12851215656510329}",25,0,17.32439561433323,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.9025, 'e': 0.1159822213000057}",25,15,17.587378823514815,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9025, 'e': 0.10467395472325515}",25,16,14.928762407249476,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.9025, 'e': 0.09446824413773776}",25,20,10.886574956014899,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.9025, 'e': 0.08525759033430833}",20,4,19.375116453908962,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.9025, 'e': 0.07694497527671326}",25,0,6.449857096278445,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.9025, 'e': 0.06944284018723372}",20,0,25.687679670486826,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.9025, 'e': 0.06267216326897843}",20,0,16.30119770513784,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.9025, 'e': 0.05656162735025303}",20,10,4.116014426104622,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.9025, 'e': 0.05104686868360336}",20,3,-28.87870153434489,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
31,False,"{'a': 0.9025, 'e': 0.04606979898695203}",25,6,30.04449390762178,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.9025, 'e': 0.041577993585724206}",20,10,16.584793000980856,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.9025, 'e': 0.037524139211116095}",30,12,33.36486021442549,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.9025, 'e': 0.033865535638032275}",20,7,25.306697165985902,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.9025, 'e': 0.030563645913324125}",25,17,-25.337637807478764,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
36,False,"{'a': 0.9025, 'e': 0.027583690436775023}",20,0,29.893783474099962,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.9025, 'e': 0.024894280619189454}",20,13,8.846485079455777,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.9025, 'e': 0.022467088258818484}",30,12,32.36213397929416,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.9025, 'e': 0.02027654715358368}",25,11,26.79619238666696,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.9025, 'e': 0.01829958380610927}",25,8,26.001452617487306,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.9025, 'e': 0.016515374385013618}",25,12,21.84600997816769,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.9025, 'e': 0.014905125382474788}",25,15,19.164871088176813,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.9025, 'e': 0.013451875657683496}",25,19,11.31415755420855,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.9025, 'e': 0.012140317781059356}",20,13,-12.041566721193213,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.9025, 'e': 0.010956636797406067}",20,3,28.099563929331755,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.9025, 'e': 0.009888364709658976}",25,12,8.481846204802208,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.9025, 'e': 0.008924249150467226}",25,19,10.846785646842733,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.9025, 'e': 0.00805413485829667}",25,10,29.11887240711202,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.9025, 'e': 0.007268856709612745}",20,16,8.342288281008859,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
