trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-486.4434649108643,"{0: 78, 1: 14, 2: 18, 3: 3, 4: 7}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-100,-277.1491783901155,"{0: 79, 1: 17, 2: 20, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,12,-34.25107845629534,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,-100,-596.5276946653651,"{0: 68, 1: 13, 2: 30, 3: 2, 4: 7}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,-100,-605.8312469768058,"{0: 79, 1: 13, 2: 27, 3: 3, 4: 8}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-100,-766.3998250979339,"{0: 71, 1: 12, 2: 27, 3: 3, 4: 12}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-69,-365.7321656382684,"{0: 51, 1: 13, 2: 20, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,-100,-626.0277954689736,"{0: 87, 1: 9, 2: 20, 3: 3, 4: 11}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,-36,-274.07007801821334,"{0: 40, 1: 11, 2: 10, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-9,-196.49671921440762,"{0: 13, 1: 4, 2: 9, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,20,-56.92263312691377,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,12,-2.1182670575035436,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,-10,-90.19608890211214,"{0: 22, 1: 4, 2: 8, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-100,-593.0131238822831,"{0: 82, 1: 13, 2: 18, 3: 1, 4: 11}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-100,-810.4403847350029,"{0: 69, 1: 10, 2: 33, 3: 0, 4: 13}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-100,-702.2408380299289,"{0: 66, 1: 9, 2: 34, 3: 1, 4: 10}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-511.71019130159794,"{0: 74, 1: 12, 2: 25, 3: 3, 4: 6}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,15,-55.26603454403742,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",30,-38,-354.0359009864921,"{0: 39, 1: 11, 2: 12, 3: 0, 4: 6}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-100,-624.8376846302626,"{0: 68, 1: 16, 2: 26, 3: 1, 4: 9}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,-100,-473.9891776967073,"{0: 82, 1: 19, 2: 22, 3: 1, 4: 6}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-33,-367.333565996316,"{0: 33, 1: 6, 2: 12, 3: 1, 4: 6}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-100,-450.581871075949,"{0: 80, 1: 14, 2: 18, 3: 1, 4: 7}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,16,-43.06868493393354,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,-100,-585.8847215972901,"{0: 76, 1: 12, 2: 27, 3: 2, 4: 8}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,-7,-123.3321803671441,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,8,-27.347207877898875,"{0: 13, 1: 8, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,-100,-543.3755736471618,"{0: 68, 1: 17, 2: 26, 3: 3, 4: 6}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,-100,-807.6358649666813,"{0: 77, 1: 8, 2: 29, 3: 3, 4: 13}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,-100,-590.0044594056981,"{0: 85, 1: 12, 2: 21, 3: 2, 4: 10}",0
